,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
0,원조범일동매떡,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20161029_271%2F14776752037571tRDb_JPEG%2FMessage_1476925076979.jpg,993,1194,9.07
1,범일빈대떡,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20170218_170%2F14874150686357VDc0_JPEG%2FIMG_3546.jpg,543,312,9.02
2,원조순대집,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180702_198%2F15304997833974yylQ_JPEG%2F1b7o-BenX-QfFVDhcrcuiD_1.jpg,,13,
3,네살차이,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201025_201%2F1603629254230kBWKY_JPEG%2F4A2Baym6OhsMZuWMPn5mJSIL.jpeg.jpg,567,1131,9.31
4,오륙도낙지 범일본점,4.44,,239,83,8.68
5,Auriver,5,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211230_164%2F1640844919375hvT2X_JPEG%2FP1059366.jpg,59,20,9.1
6,큐미정,3.99,,50,37,8.09
7,신흥관,4.7,,50,10,8.8
8,장수밀면본점,4.27,,228,15,8.51
9,카페 일로,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210228_92%2F1614477720005xkeTY_JPEG%2FuV4k-KTjJWnjUWsv_xOrN8qk.jpg,215,49,8.79
10,할매곱창집,4.48,,160,58,8.58
11,굽네치킨 부산범천점,4.62,,,8,
12,우리동네168,4.61,,256,22,8.85
13,태화통닭,4.42,,53,62,8.52
14,39아구찜,4.4,,87,14,8.5
15,웅복,4.45,,70,18,8.55
16,정일품식육식당,4.41,,477,54,8.79
17,조방돼지국밥,4.33,,117,6,8.43
18,그나비,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211217_178%2F1639709138945AXoc4_JPEG%2F20211216_101917.jpg,1,11,
19,카페카라카,4.88,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201119_91%2F1605781333653eoDd6_JPEG%2F46Q8hkZ9DpTgYtOuTbqcoojB.jpg,23,11,8.98
20,본죽 부산진역점,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210910_267%2F1631251422069sVCzx_JPEG%2Ffj-rT0LKvOcH2RQHzvUciHrd.jpg,417,8,8.85
21,Cafe 가볍고복잡한,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190408_75%2F1554692369360W3wH3_JPEG%2Fnyjt11nlmEoO0-eiNuSyUjUm.jpg,38,25,8.82
22,미조,4.19,,130,18,8.29
23,옥숙이손칼국수,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_170%2F15933995460302xUY2_JPEG%2FluJXF8pxaIL7gVEaczlNE8ZG.jpg,196,89,8.47
24,좌천집,4.75,,22,7,8.85
25,대청 현대백화점부산점,4.42,,619,42,8.94
26,이대충무할매김밥,4.33,,349,4,8.64
27,사거리만두,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181221_135%2F1545366827769C6wBN_PNG%2FyZ3lmshmlTFt5SaMsbGrzsPk.png,12,6,8.3
28,마라소호,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210129_19%2F1611846989125gHUD1_JPEG%2FmAQYTAH3xXl6fSC9odZHo6_e.jpeg.jpg,56,4,8.86
29,준마참치,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200117_71%2F1579259403678P0Yrh_JPEG%2Fnz4WFlL7Fm4krlABqc1qiiFI.jpg,28,6,8.68
30,양산도 현대백화점부산점,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200413_277%2F1586749913446JgPGk_JPEG%2FmYSdn0toVFUO757WXRt8rnLF.jpg,457,149,8.89
31,명성횟집,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200428_36%2F1588081111388gXhFK_JPEG%2F6PsXd17a73eVYE-WweE18oLV.jpg,406,296,8.68
32,영주한우숯불갈비,4.25,,271,21,8.49
33,하삼동커피 부산진역점,4.42,,397,3,8.73
34,철마한우곰탕,4.44,,137,30,8.54
35,할매떡볶이,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190722_7%2F1563757162102R0lNp_JPEG%2FmRwzpyEJBJeDpLsnyB68frWA.jpg,3,3,
36,정항우케익 좌천역점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200707_250%2F1594108888652NEBpV_JPEG%2FgSDRZHUSKodwVSnakCwN7rRI.jpg,16,,
37,옛날전통손칼국수,,,2,14,
38,랑만 현대백화점 부산점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220220_296%2F1645343666863Lp5zK_JPEG%2FKakaoTalk_20220220_165106134.jpg,48,42,
39,바다횟집,4.7,,74,6,8.8
40,매운떡볶이,,,8,28,
41,바우네나주곰탕 범일점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181121_169%2F1542786827357nX97S_JPEG%2FI-iLm1ck38un_7XJu1Y-QNN8.jpg,175,13,8.59
42,지코바 수정점,4.39,,37,,
43,바사삭치킨강정 범일점,4.36,,96,9,8.46
44,커피인트리,4.32,,22,2,8.42
45,직화장수쭈꾸미,4.46,,129,11,8.56
46,나베야돈까스 본점,,,59,8,
47,중앙횟집,4.54,,89,5,8.64
48,미스코다리미스터황태 부산좌천점,4.3,,107,98,8.4
49,비바케밥 부산1호점,,,1,1,
50,생대복,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_273%2F1548740815971esHPD_JPEG%2F3vBPWgH-mJSwGzKVKHm3ky79.jpeg.jpg,81,5,8.39
51,북경,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200317_261%2F1584448061198FJIAV_JPEG%2FkuM32oKz6E9kn6_0dEHghYny.jpg,206,64,8.68
52,장원돼지국밥,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_201%2F14410678699777z8ek_JPEG%2FSUBMIT_1386769035618_16468354.jpg,301,40,8.71
53,카페봄봄 범천점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211104_208%2F16359879488286dzqm_JPEG%2F9ZAtUIpmef70FdFl0elYFfOZ.jpg,26,10,
54,조마루뼈다귀 수정점,4.26,,258,13,8.5
55,카페 라모드,,,62,4,
56,cla,,,3,11,
57,섬진강재첩국,4.36,,165,18,8.46
58,중앙밀면,4.36,,26,13,8.46
59,태화반점,4.6,,36,3,8.7
60,티바두마리치킨 부산수정시장점,4.56,,,2,
61,가가와,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220112_77%2F1641970054028tr5Y5_JPEG%2F%25B4%25DC%25B5%25B6%25BC%25A6_4._%25C4%25A1%25C1%25EE%25B1%25EE%25BD%25BA%25C1%25A4%25BD%25C4_%2528121%2529.jpg,1007,1035,9.33
62,천춘일 식당,,,13,25,
63,BBQ치킨 부산동구청점,,,,1,
64,컴포즈커피 범천점,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210801_178%2F1627824622775Vvmu6_JPEG%2Fd2j-OQ-SlDS3LW7GDsO14GZz.jpg,479,9,8.69
65,어보  현대백화점부산점,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210909_208%2F16311757359311Pyty_JPEG%2Flc9xzraTcAEoMet67GrnvN_y.jpg,107,12,8.3
66,칼질천번,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180616_280%2F1529121154855zwqOj_JPEG%2FUwIWL3nl9cuCuDEC1lvoh_et.jpg,516,281,8.91
67,숙성명가또돈,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220227_7%2F1645887863753VIkvo_JPEG%2F20220223_143216.jpg,41,2,
68,하이오커피 범일점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211215_169%2F1639570809460vLD1x_JPEG%2FKakaoTalk_20211215_210954794_06.jpg,120,3,
69,에스티 커피,4.39,,206,9,8.63
70,클라,4.62,,69,5,8.72
71,60년전통할매국밥,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA4MjlfMjcy%2FMDAxNTAzOTY3OTQxMTAx.fUT0-nmKHhmzY4K_h0Rpvl949d-eACehBDSfnNUoozog.xCEkXwD3KTOGApUrbLY2bgGEXx3r1wC5XmOAhrxrpp0g.JPEG.kimsw-1013%2FKakaoTalk_20170824_124917174.jpg,1620,1516,9.23
72,디디씨치킨 범천점,4.56,,166,9,8.66
73,양정명동찌개마을 수정점,4.41,,193,8,8.51
74,오뚜기 식당,,,36,9,
75,cafe레브 일신기독병원점,4.44,,178,4,8.54
76,오뚝이국수,,,18,,
77,만조통닭,,,,6,
78,더리터 수정점,4.47,,93,1,8.57
79,용꿈,4.32,,42,87,8.42
80,수정반점,4.49,,95,2,8.59
81,밥심 술심,,,,4,
82,초류향,4.45,,33,2,8.55
83,산청한방돼지국밥,4.52,,141,8,8.62
84,걸작떡볶이치킨 부산범천점,3.25,,,6,
85,커피나무,4.75,,19,1,8.85
86,진주비빔밥,,,26,1,
87,달인추어탕,4.35,,236,7,8.59
88,원조할매낙지,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190114_231%2F1547453902354Pa8Sc_JPEG%2FnSTFjmFR0TAkX0jVh6dK-xSZ.jpg,1720,731,9.23
89,하카타도넛,4.33,,85,1,8.43
90,한우천국,,,1,14,
91,상미한식,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_206%2F1548740429995fmE9N_JPEG%2FKLn9Bppvh_uzU0a6ghY6-yc-.jpeg.jpg,81,1,8.42
92,용성루,4.56,,15,,
93,청와대숯불갈비,4.07,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190127_68%2F1548588649224aHSFu_JPEG%2FYrOzEUaDWUqiTo-gGenzUOzC.jpeg.jpg,20,3,8.17
94,맘스김밥,4.5,,28,,
95,원제면소,4.93,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210928_40%2F1632807151447Qgobu_JPEG%2FHyqYII7ufK28dLQbdUYZVRMh.jpg,100,10,9.03
96,문현포차문포18,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_55%2F1592366181666lMihR_JPEG%2FTcr83ggfUFbRb7QKwY5iTETY.jpg,11,1,8.5
97,골드커피,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211214_84%2F163946429871883Ma7_JPEG%2FKakaoTalk_20211214_103644784_07.jpg,7,4,
98,애드본카페,4.49,,208,4,8.73
99,범천녹두밭,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200217_284%2F15818712354388BYqI_JPEG%2FZAxzLhxmJjL74vzL_R_qYER5.jpg,34,2,8.56
100,옛날손칼국수,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190125_93%2F154841496124632WzA_JPEG%2F17x-BkET9tQV0OR-vH9YQOJB.jpg,4,12,
101,문현숯불곱창,4.63,,83,11,8.73
102,진죽공방 현대백화점부산점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190823_236%2F1566533339012JmfCF_JPEG%2FUh0H79XAggt-bWF1NesHl6n-.jpeg.jpg,27,1,8.54
103,다도해해물아구찜,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191201_297%2F15751336625724lwE0_JPEG%2F74MNhPheMn48lekhHgJnqnjv.jpg,7,4,
104,앤티앤스 현대부산점,4.08,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190613_296%2F1560391293221lLRMc_JPEG%2F5RxDyktVQRdidfmHSCelENa4.jpg,23,3,8.18
105,루반도르 현대백화점 부산점,4.5,,340,19,8.81
106,수정식당,4.25,,23,1,8.35
107,해리스 좌천일신기독병원점,4.45,,56,1,8.55
108,까치돈까스,4.14,,22,1,8.24
109,엄마손칼국수,4.34,,87,4,8.44
110,은화수식당 범일동점,4.27,,184,62,8.37
111,요거트 아이스크림의 정석 부산진역점,,,2,4,
112,엘레오스,,,2,36,
113,가야정,4.27,,48,7,8.37
114,빈스킹토스트 현대백화점부산점,,,2,,
115,우리나라횟집,,,7,1,
116,꼬지사께 부산범일점,4.23,,15,7,8.33
117,떡실신,3.55,,20,3,7.65
118,진영곱창,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200904_122%2F1599205043507botmF_JPEG%2FIoHnE1DrmzQReUmxxGuxk3Hw.jpg,191,64,8.65
119,온정밥상,4.44,,19,,
120,미아케이크,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181013_111%2F1539412559297qJwg1_JPEG%2F2e0antJOoAoz65oZHbThMiU4.JPG.jpg,20,198,8.44
121,남문각,,,5,1,
